N°	Année 	Intitulé du projet	Date de démarrage/mise en vigueur	Date de clôture (Date limite de décaissement)	Structure de tutelle/Ministère	Partenaire/Bailleur	Type de bailleur (Multilatéral, Bilatéral, ...)	Prêt	Don	Total	Secteur Principal
61	2022	Projet de réhabilitation de la route Lomé - Cotonou et de protection cotière			MCVT	BAD	Multilatéral	49 062 161	0	49 062 161	TRANSPORT
62	2022	Projet d'Appui au Développement de la Filière Anacarde et de l'Entreprenariat Agricole (PADEFA-ENA)			MAEP	BAD	Multilatéral	66 011 639	0	66 011 639	AGRICULTURE
63	2022	Projet de transformation agricole et d’entrepreneuriat des jeunes			MAEP	BAD	Multilatéral		615 108 351	615 108 351	ENTREPRENEURIAT
64	2022	Projet d'appui à la production vivrière			MAEP	BAD	Multilatéral		274 710 252	274 710 252	AGRICULTURE
65	2022	Projet de construction de routes cotonnières			MAEP	BAD	Multilatéral		0	0	AGRICULTURE
66	2022	Restructuration et d'Extension du Système de Répartition et de Distribution de la SBEE			MEEM	BAD	Multilatéral		0	0	ELECTRICITE
67	2022	Programme intégré de développement et d’adaptation au changement climatique dans le bassin du Niger (PIDACC/BN) 			MCVT	BAD	Multilatéral		0	0	CLIMAT
68	2022	Projet d'Appui à l'Université Nationale d'Agriculture et à l'UNSTIM			MESFP	BADEA	Multilatéral	9 161 939	0	9 161 939	EDUCATION
69	2022	Projet de construction pont sur le fleuve Mono			MCVT	BADEA	Multilatéral	887 847 394	0	887 847 394	CADRE DE VIE
70	2022	Projet de construction et d'équipement de l'école normale supérieure de l'enseignement technique de Lokossa			MESFP	BADEA	Multilatéral	632 578 043	0	632 578 043	EDUCATION
71	2022	Projet d'extension IMSP de Dangbo			MESFP	BADEA	Multilatéral	867 960 262	0	867 960 262	EDUCATION
72	2022	Projet de drainage eaux pluviales à Cotonou			MEEM	BEI	Multilatéral	7 777 059 967	0	7 777 059 967	EAU
73	2022	 Projet d’Augmentation de l’Accès à l’Électricité			MEEM	BEI	Multilatéral	6 547 319 880	0	6 547 319 880	ELECTRICITE
74	2022	Projet de risposte sanitaire au COVID-19 Bénin			MS	BEI	Multilatéral	2 012 218 285	0	2 012 218 285	SANTE
75	2022	Projet de Renforcement des réseaux de la SBEE et d'Electrification du département de l'Atlantique (PRERA)			MEEM	BEI	Multilatéral		193 700 140	193 700 140	ELECTRICITE
76	2022	Projet de réhabilitation du corridor Cotonou - Niamey : Section Béroubouay - Malanville			MCVT	BID	Multilatéral	12 333 643 228	0	12 333 643 228	TRANSPORT
77	2022	Projet de construction de la route banikoara-keremou-frontière burkina-faso			MCVT	BID	Multilatéral	4 111 345 992	0	4 111 345 992	TRANSPORT
78	2022	Programme "Combler les écarts : Santé communautaire, Ressources Humaine"			MS	BID	Multilatéral	2 815 607 406	0	2 815 607 406	SANTE
79	2022	Projet de Drainage des Eaux Pluviales à Cotonou (Vente à temperament)			MCVT	BID	Multilatéral	6 902 272 491	0	6 902 272 491	CADRE DE VIE
80	2022	Projet de construction de logements sociaux en République du Bénin			MCVT	BID	Multilatéral	116 789 366	0	116 789 366	CADRE DE VIE
81	2022	-Projet de Drainage des Eaux Pluviales à Cotonou (Pret Ordinaire)			MEEM	BID	Multilatéral	58 550 519	0	58 550 519	EAU
82	2022	Projet de construction de la route Bétérou Tchaourou - frontière du Nigéria 			MCVT	BID	Multilatéral	3 693 998 756	0	3 693 998 756	TRANSPORT
83	2022	Projet de développement de l'enseigement de base phase IV			MESFP	BID	Multilatéral	3 290 414 699	0	3 290 414 699	EDUCATION
84	2022	Programme d'amélioration de la productivité agricole des petits exploitants			MAEP	BID	Multilatéral	1 655 407 269	0	1 655 407 269	AGRICULTURE
85	2022	Projet d'Achat d'équipements pour le programme d'amélioration de la production agricole des petits exploitants 			MAEP	BID	Multilatéral	289 449 294	0	289 449 294	AGRICULTURE
86	2022	Projet d'Equipement et réhabilitation des formations sanitaires en République du Bénin			MS	BID	Multilatéral	507 330 594	0	507 330 594	SANTE
87	2022	Projet d'hydraulique et d'assainissement en milieu rural			MCVT	BID	Multilatéral	590 934 775	0	590 934 775	CADRE DE VIE
88	2022	Projet de développement des périmètres irrigués en milieu rural			MEEM	BID	Multilatéral	1 071 878 440	0	1 071 878 440	ELECTRICITE
89	2022	Projet de développement des périmètres irrigués en milieu rural			MAEP	BID	Multilatéral	669 394 431	0	669 394 431	PÊCHE
90	2022	 Projet d'Appui au Développement du Maraîchage (PADMAR)			MAEP	FIDA	Multilatéral	1 801 803 279	0	1 801 803 279	AGRICULTURE
91	2022	Projet d'Appui au Développment Agricole et à l'Accès au Marché (PADAAM)			MAEP	FIDA	Multilatéral	1 049 980 386	0	1 049 980 386	AGRICULTURE
92	2022	Programme pour la Gestion des Zones Côtières de l'Afrique de l'Ouest			MCVT	FND	Multilatéral	134 027 653	0	134 027 653	CADRE DE VIE
93	2022	Projet de réduction des pertes d'eau et d'amélioration de la viabilité des systèmes d'AEP de Cotonou, Porto-Novo et leurs Agglomérations			MEEM	FSN	Multilatéral	325 846 959	0	325 846 959	EAU
94	2022	Financement MOURABAHA pour l'achat des produits pharmaceutiques et medicaux et leur vente à la République du Bénin			MS	ITFC	Multilatéral	386 361 212	0	386 361 212	SANTE
95	2022	Financement MOURABAHA pour l'achat de gaz et produits pétroliers et leur vente en Republique du Bénin			MEEM	ITFC	Multilatéral	2 911 912 993	0	2 911 912 993	ELECTRICITE
96	2022	 Projet d'Appui au Développement du Maraîchage (PADMAR)			MAEP	OPEP	Multilatéral	1 299 279 842	0	1 299 279 842	AGRICULTURE
97	2022	Projet de réhabilitation du corridor cotonou-niamey: section de beroubouay-malanville (169,4km)			MCVT	OPEP	Multilatéral	1 181 680 816	0	1 181 680 816	TRANSPORT
98	2022	Projet de soutien au développement agricole et à l'accès au marché			MAEP	OPEP	Multilatéral	1 347 099 103	0	1 347 099 103	AGRICULTURE
99	2022	Projet de soutien d'urgence au système de santé en réponse à la Pandemie de COVID 19			MS	OPEP	Multilatéral	4 674 609 622	0	4 674 609 622	SANTE
100	2022	Projet de conception et construction du CHU d'Abomey-calavi			MS	BNP PARIBAS	Commercial	13 997 193 392	0	13 997 193 392	SANTE
101	2022	Programme d'Assurance pour le Renforcement du Capital Humain (ARCH)			MS	BOC	Commercial	16 052 034 785	0	16 052 034 785	SANTE
102	2022	Projet de construction d'un complexe touristique "Marina de Ouidah"			MTCA	BPIF	Commercial	4 353 958 228	0	4 353 958 228	TOURISME
103	2022	Projet de fourniture et d'installation de lampadaires solaires photovoltaïques pour l’éclairage public de voiries			MEEM	Crédit Suisse	Commercial	2 812 743 495	0	2 812 743 495	ELECTRICITE
104	2022	Projet de fourniture et de livraison de véhicules de collecte de déchets ménagers sur le territoire du Grand Nokoué			MCVT	DB	Commercial	1 300 460 310	0	1 300 460 310	CADRE DE VIE
105	2022	Projet de construction d'un pont sur le lac Toho, d'aménagement et le bitumage de la route nationale RN36 et de la route Guesso			MCVT	DB	Commercial	9 896 289 318	0	9 896 289 318	TRANSPORT
106	2022	Projet de protection de la façade maritime du Bénin			MCVT	JBIC	Commercial	1 218 956 366	0	1 218 956 366	CADRE DE VIE
107	2022	Projet Accès Durable et Sécurisé du Bénin à l’Energie Electrique (PADSBEE)			MEEM	NTXS	Commercial	5 304 474 031	0	5 304 474 031	ELECTRICITE
108	2022	Projet de réhabilitation et d'aménagement de la route de 284 KM entre Bohicon et Parakou via Dassa en République du Bénin			MCVT	OBHF	Commercial	8 464 607 507	0	8 464 607 507	TRANSPORT
109	2022	Projet de protection de la côte à l'Ouest de Cotonou			MCVT	RABO	Commercial	10 000 000 000	0	10 000 000 000	CADRE DE VIE
110	2022	Projet de protection de la côte à l'Est de Cotonou			MCVT	SG	Commercial	4 624 907 850	0	4 624 907 850	CADRE DE VIE
111	2022	Projet de réhabilitation et aménagement de la route de 284 KM entre Bohicon et Parakou via Dassa en République du Bénin			MCVT	UKEF	Commercial	8 464 607 507	0	8 464 607 507	TRANSPORT
1	2023	Projet de Soutien a l'Enseignement Secondaire au Benin (SEnS)	08/07/2016	31/12/2025	MESFP	AFD	Bilatéral	592 473 918	0	592 473 918	EDUCATION
2	2023	Projet d'Assainissement pluvial de la ville de Cotonou (PAPC)	31/03/2020	31/03/2026	MCVT	AFD	Bilatéral	5 441 327 779	0	5 441 327 779	CADRE DE VIE
3	2023	Projet de Developpement de l'enseignement technique, de la Formation et de l'Insertion Professionnelle (DEFIPRO)	15/11/2017	31/12/2026	MESFP	AFD	Bilatéral	214 396 046	0	214 396 046	EDUCATION
4	2023	Projet d'extention et de densification electrique des reseaux de la SBEE	24/07/2019	31/03/2025	MEEM	AFD	Bilatéral	9 875 552 906	0	9 875 552 906	ELECTRICITE
5	2023	Projet reinventer la cite lacustre de Ganvie	26/09/2019	31/12/2027	MCVT	AFD	Bilatéral	6 167 214 917	0	6 167 214 917	CADRE DE VIE
6	2023	Programme d'Adaptation des Villes aux Changements Climatiques (PAVICC)	05/03/2018	05/09/2025	MCVT	AFD	Bilatéral	4 578 105 581	1 090 207 750	5 668 313 331	CLIMAT
7	2023	Projet d'Appui a l'Entrepreunariat au Benin	27/07/2022	27/07/2027	MPMEPE	AFD	Bilatéral	2 295 849 500	0	2 295 849 500	ENTREPRENEURIAT
8	2023	Projet d'Appui au Developpement et aux Investissements Agricoles Productifs (PADIAP)	05/07/2023	30/06/2029	MAEP	AFD	Bilatéral	0	1 967 871 000	1 967 871 000	AGRICULTURE
9	2023	Projet de construction d'une centrale solaire photovoltaique d'une puissance de 25MWc et la modernisation de son systeme d'information	02/06/2023	25/03/2026	MEEM	AFD	Bilatéral	2 010 244 389	2 038 508 052	4 048 752 441	ELECTRICITE
10	2023	Projet de Restructuration et d'Extension du Systeme de Repartition et de Distribution de la SBEE (PRESREDI)	10/12/2018	10/12/2025	MEEM	AFD	Bilatéral	741 499 519	0	741 499 519	ELECTRICITE
11	2023	Programme d'appui a la Formation Agricole et Rurale (ProFAR)	27/11/2023	24/11/2027	MAEP	AFD	Bilatéral	11 807 226 000	0	11 807 226 000	AGRICULTURE
12	2023	Projet d'Appui au Developpement des Filieres Proteiniques (PADeFIP)	NA	NA	MAEP	AFD	Bilatéral	0	953 618 661	953 618 661	AGRICULTURE
13	2023	Projet de Transition Agroecologique des zones cotonieres (TAZCO II)	NA	NA	MAEP	AFD	Bilatéral	0	615 838 998	615 838 998	AGRICULTURE
14	2023	Projet d'Approvisionnement en Eau Potable (AEP) dans trois villes: Zangnanado, Cove et Boukoumbe	27/08/2019	31/12/2028	MEEM	FKOW	Bilatéral	97 033 644	0	97 033 644	EAU
15	2023	Projet de construction et equipement Hopital de Zone de Tchaourou et six centres de sante	05/04/2016	30/06/2027	MS	FKOW	Bilatéral	716 157 016	0	716 157 016	SANTE
16	2023	Projet de construction et equipement de l'Hopital de Save	31/05/2011	31/12/2025	MS	FSD	Bilatéral	222 638 899	0	222 638 899	SANTE
17	2023	Projet de construction et equipement des centres universitaires	31/05/2011	31/12/2021	MS	FSD	Bilatéral	41 611 790	0	41 611 790	SANTE
18	2023	Projet d'Appui a la competitivite des filieres et a la diversification des exportations	01/07/2020	30/11/2026	MAEP	AID	Multilatéral	34 182 270 718	0	34 182 270 718	ELEVAGE
19	2023	Projet de renforcement des systemes regionaux de surveillance des maladies (REDISSE)	11/06/2018	30/06/2024	MS	AID	Multilatéral	207 844 150	195 623 087	403 467 237	ELECTRICITE
20	2023	Projet Integre de Transformation Numerique des zones rurales du Benin (PITNZR)	08/08/2019	30/06/2025	MENC	AID	Multilatéral	3 978 873 880	0	3 978 873 880	NUMERIQUE
21	2023	Avance de preparation de projet programmatique au Benin	NA	NA	MCVT	AID	Multilatéral	181 827 776	0	181 827 776	APPUI BUDGETAIRE
22	2023	Projet de gestion des eaux pluviales et de resilience urbaine	07/10/2019	30/09/2025	MCVT	AID	Multilatéral	8 711 973 479	0	8 711 973 479	CADRE DE VIE
23	2023	Projet Africain des Centres d'Excellence d'Enseignement Superieur pour l'Impact sur le Developpement (ACE IMPACT)	02/03/2020	30/06/2025	MESRS	AID	Multilatéral	35 682 093	0	35 682 093	EDUCATION
24	2023	Projet de Cohesion Sociale des Regions du Nord du Golfe de Guinee	26/04/2022	31/05/2027	MCVT	AID	Multilatéral	834 854 329	8 300 000 000	9 134 854 329	APPUI BUDGETAIRE
25	2023	Projet d'inclusion des jeunes au Benin	31/12/2020	30/06/2027	MESFP	AID	Multilatéral	89 677 897 934	8 151 106 862	97 829 004 796	ENTREPRENEURIAT
26	2023	Projet d'interconnexion electrique regionale North Core/Dorsale Nord	23/11/2018	01/12/2026	MEEM	AID	Multilatéral	318 599 931	795 200 473	1 113 800 404	ELECTRICITE
27	2023	Programme de Construction des Villes Resiliantes et Inclusives (BRIC)	15/10/2022	30/06/2028	MCVT	AID	Multilatéral	5 285 071 335	0	5 285 071 335	CADRE DE VIE
28	2023	Projet de Formation Professionnelle et d'entrepreneuriat pour l'Emploi (PFPEEB)	31/12/2021	31/03/2027	MESFP	AID	Multilatéral	0	1 400 000 000	1 400 000 000	ENTREPRENEURIAT
29	2023	Projet d'Approvisionnement en Eau Potable en Milieu Rural et d'Assainissement des Eaux Usees en Milieu Urbain (PEPRAU)	20/01/2017	30/06/2024	MEEM	AID	Multilatéral	3 685 731 218	0	3 685 731 218	ELECTRICITE
30	2023	Projet d'identification unique pour l'integration et l'inclusion regionales en Afrique de l'Ouest	22/06/2020	30/07/2026	MEF	AID	Multilatéral	0	2 144 706 036	2 144 706 036	APPUI BUDGETAIRE
31	2023	Projet d'investissement dans la resilience des zones cotieres de l'Afrique de l'Ouest (Waca-ResIP)	21/04/2018	30/06/2025	MCVT	AID	Multilatéral	10 451 544 474	11 300 769 291	21 752 313 765	CADRE DE VIE
32	2023	Programme d'acces universel a l'eau potable en milieu rural	15/07/2022	30/06/2027	MEEM	AID	Multilatéral	15 349 393 800	0	15 349 393 800	ELECTRICITE
33	2023	Projet de Competitivite de Tourisme Transfrontalier (PCTT)	31/05/2022	30/06/2024	MCVT	AID	Multilatéral	456 064 048	0	456 064 048	TRANSPORT
34	2023	Programme d'amelioration du systeme de sante	10/05/2022	30/06/2027	MS	AID	Multilatéral	1 891 682 637	0	1 891 682 637	SANTE
35	2023	Projet de Nutrition et de Developpement de la Petite Enfance (PNDPE)	NA	NA	MASM	AID	Multilatéral	0	1 522 163 003	1 522 163 003	SANTE
36	2023	Projet d'autonomisation des femmes et de demographie du Sahel	NA	NA	MASM	AID	Multilatéral	0	13 426 581 845	13 426 581 845	GOUVERNANCE LOCALE
37	2023	Projet d'amenagement de la route Cotonniere Djougou-Pehunco-Kerou-Banikoara	18/01/2019	30/12/2027	MCVT	BAD	Multilatéral	4 865 584 929	0	4 865 584 929	TRANSPORT
38	2023	Projet d'Appui a la Gestion des Forets Communales (PAGEFCOM)	10/04/2017	31/12/2024	MAEP	BAD	Multilatéral	0	12 436 885 705	12 436 885 705	FORET
39	2023	Projet d'Appui au Programme d'Assainissement Pluvial (PAPC) de la ville de Cotonou	15/11/2019	30/06/2027	MCVT	BAD	Multilatéral	5 914 128 139	0	5 914 128 139	CADRE DE VIE
40	2023	Projet d'Electrification Rurale (PERU)	15/11/2019	31/12/2026	MEEM	BAD	Multilatéral	5 319 132 860	0	5 319 132 860	ELECTRICITE
41	2023	Projet d'Appui a la Gestion des Forets Communales (PAGEFCOM II)	10/04/2017	31/12/2024	MAEP	BAD	Multilatéral	491 630 091	18 686 450	510 316 541	FORET
42	2023	Projet d'Appui aux Infrastructures Agricoles dans la Vallee de l'Oueme (PAIA-VO)	09/01/2014	31/03/2025	MAEP	BAD	Multilatéral	2 373 605 672	203 402 926	2 577 008 597	AGRICULTURE
43	2023	Projet de Restructuration et d'Extension du Systeme de Repartition et de Distribution de la SBEE (PRESREDI)	10/12/2018	10/12/2025	MEEM	BAD	Multilatéral	715 961 631	375 878 595	1 091 840 226	ELECTRICITE
44	2023	Projet d'appui au developpement des filieres lait et viande et a la promotion des entreprises d'elevage (PRODEFILAV-PEL)	23/02/2022	30/06/2027	MAEP	BAD	Multilatéral	51 707 236	128 833 000	180 540 236	ELEVAGE
45	2023	Projet de rehabilitation de la route Lome - Cotonou et de protection cotiere	07/03/2017	31/12/2025	MCVT	BAD	Multilatéral	185 773 807	13 647 920	199 421 727	TRANSPORT
46	2023	Projet d'Appui au Developpement de la Filiere Anacarde et de l'Entreprenariat Agricole (PADEFA-ENA)	07/05/2019	30/06/2024	MAEP	BAD	Multilatéral	101 670 436	0	101 670 436	AGRICULTURE
47	2023	Programme d'appui a la gouvernance economique et au developpement du secteur prive	25/07/2024	31/12/2025	MEF	BAD	Multilatéral	25 028 427 662	0	25 028 427 662	APPUI BUDGETAIRE
48	2023	Projet de transformation agricole et d'entrepreneuriat des jeunes	NA	NA	MAEP	BAD	Multilatéral	0	170 337 864	170 337 864	ENTREPRENEURIAT
49	2023	Projet d'Appui a l'Universite Nationale d'Agriculture et a l'UNSTIM	05/04/2019	31/12/2025	MAEP	BADEA	Multilatéral	1 630 282 169	0	1 630 282 169	EDUCATION
50	2023	Projet de Construction de 20 mille logements economiques et sociaux	06/07/2021	31/12/2026	MCVT	BADEA	Multilatéral	985 022 143	0	985 022 143	CADRE DE VIE
51	2023	Projet de construction et d'equipement de l'ecole normale superieure de l'enseignement technique de Lokossa	22/04/2014	31/12/2025	MESFP	BADEA	Multilatéral	241 511 533	0	241 511 533	EDUCATION
52	2023	Projet d'extension IMSP de Dangbo	30/03/2015	31/12/2025	MESFP	BADEA	Multilatéral	212 462 680	0	212 462 680	EDUCATION
53	2023	Projet de rehabilitation du corridor Cotonou - Niamey : Section Beroubouay - Malanville	03/04/2018	15/11/2025	MCVT	BID	Multilatéral	22 942 578 354	0	22 942 578 354	TRANSPORT
54	2023	Projet de construction de la route banikoara-keremou-frontiere burkina-faso	10/12/2014	31/12/2023	MCVT	BID	Multilatéral	7 240 010 641	0	7 240 010 641	TRANSPORT
55	2023	Programme Combler les ecarts : Sante communautaire, Ressources Humaine	01/09/2021	24/01/2027	MS	BID	Multilatéral	1 011 524 145	0	1 011 524 145	SANTE
56	2023	Projet de construction de logements sociaux en Republique du Benin	17/10/2019	30/06/2026	MCVT	BID	Multilatéral	7 445 170 343	0	7 445 170 343	CADRE DE VIE
57	2023	Projet de developpement des perimetres irrigues en milieu rural	09/06/2015	28/02/2024	MAEP	BID	Multilatéral	2 807 800 244	0	2 807 800 244	ELECTRICITE
